N ;K ;Answer First ;Time First ;;Answer Second ;Time Second 
26;11;If a person plays optimally, he will win;0.053;;If a person plays optimally, he will win;0
26;12;If a person plays optimally, he will win;0.053;;If a person plays optimally, he will win;0
26;13;If a person plays optimally, he will win;0.048;;If a person plays optimally, he will win;0
26;14;If a person plays optimally, he will win;0.045;;If a person plays optimally, he will win;0
26;15;If a person plays optimally, he will win;0.045;;If a person plays optimally, he will win;0
26;16;If a person plays optimally, he will win;0.054;;If a person plays optimally, he will win;0
26;17;If a person plays optimally, he will win;0.05;;If a person plays optimally, he will win;0
26;18;If a person plays optimally, he will win;0.048;;If a person plays optimally, he will win;0
26;19;If a person plays optimally, he will win;0.048;;If a person plays optimally, he will win;0
26;20;If a person plays optimally, he will win;0.045;;If a person plays optimally, he will win;0
26;21;If a person plays optimally, he will win;0.047;;If a person plays optimally, he will win;0
26;22;If a person plays optimally, he will win;0.048;;If a person plays optimally, he will win;0.001
26;23;If a person plays optimally, he will win;0.052;;If a person plays optimally, he will win;0
26;24;If a person plays optimally, he will win;0.051;;If a person plays optimally, he will win;0
26;25;If a person plays optimally, he will win;0.047;;If a person plays optimally, he will win;0
26;26;If a person plays optimally, he will win;0.047;;If a person plays optimally, he will win;0.001
27;2;If a person plays optimally, he will win;0.077;;The computer win;0
27;3;If a person plays optimally, he will win;0.075;;If a person plays optimally, he will win;0
27;4;If a person plays optimally, he will win;0.077;;If a person plays optimally, he will win;0
27;5;If a person plays optimally, he will win;0.076;;If a person plays optimally, he will win;0
27;6;If a person plays optimally, he will win;0.078;;If a person plays optimally, he will win;0
27;7;If a person plays optimally, he will win;0.079;;If a person plays optimally, he will win;0
27;8;If a person plays optimally, he will win;0.08;;If a person plays optimally, he will win;0
27;9;If a person plays optimally, he will win;0.084;;If a person plays optimally, he will win;0
27;10;If a person plays optimally, he will win;0.081;;If a person plays optimally, he will win;0
27;11;If a person plays optimally, he will win;0.082;;If a person plays optimally, he will win;0
27;12;If a person plays optimally, he will win;0.084;;If a person plays optimally, he will win;0
27;13;If a person plays optimally, he will win;0.088;;If a person plays optimally, he will win;0
27;14;If a person plays optimally, he will win;0.08;;If a person plays optimally, he will win;0
27;15;If a person plays optimally, he will win;0.079;;If a person plays optimally, he will win;0
27;16;If a person plays optimally, he will win;0.084;;If a person plays optimally, he will win;0
27;17;If a person plays optimally, he will win;0.079;;If a person plays optimally, he will win;0.001
27;18;If a person plays optimally, he will win;0.082;;If a person plays optimally, he will win;0
27;19;If a person plays optimally, he will win;0.082;;If a person plays optimally, he will win;0
27;20;If a person plays optimally, he will win;0.081;;If a person plays optimally, he will win;0.001
27;21;If a person plays optimally, he will win;0.081;;If a person plays optimally, he will win;0
27;22;If a person plays optimally, he will win;0.08;;If a person plays optimally, he will win;0.001
27;23;If a person plays optimally, he will win;0.082;;If a person plays optimally, he will win;0
27;24;If a person plays optimally, he will win;0.091;;If a person plays optimally, he will win;0
27;25;If a person plays optimally, he will win;0.08;;If a person plays optimally, he will win;0
27;26;If a person plays optimally, he will win;0.082;;If a person plays optimally, he will win;0.001
27;27;If a person plays optimally, he will win;0.082;;If a person plays optimally, he will win;0.001
28;2;The computer win;0.087;;The computer win;0
28;3;If a person plays optimally, he will win;0.103;;If a person plays optimally, he will win;0
